Data,MRR_Total,Churn_Total,MRR_Essencial,MRR_Controle,MRR_Avancado,MRR_Performance,Churn_Essencial,Churn_Controle,Churn_Avancado,Churn_Performance,%_Anual,Signups,Trials,Conversao_Trial_Pago_%,Engajamento_Medio,%_Base_<30_dias,%_Base_Ativa,%_Ativacao_Features,Engajamento_Essencial,Engajamento_Controle,Engajamento_Avancado,Engajamento_Performance
2022-06-01,4559605.7,6.0,1334351.48,1007471.35,889040.72,1328742.15,6.11,6.06,5.83,5.79,79.07,135,75,39.38,0.116,22.47,76.18,43.63,0.087,0.096,0.149,0.148
2022-06-02,4484408.28,6.57,1346620.24,1093487.86,950287.78,1094012.4,6.77,6.46,6.33,6.46,76.05,119,67,35.88,0.401,22.2,65.31,49.17,0.381,0.425,0.429,0.443
2022-06-03,4579722.62,4.3,1289938.02,1165017.79,891651.98,1233114.84,4.49,4.43,4.1,4.18,84.1,157,88,44.84,0.115,21.6,74.45,51.76,0.087,0.115,0.139,0.141
2022-06-04,4685763.58,3.18,1339817.85,1200189.69,859747.13,1286008.92,3.41,3.2,3.07,3.01,74.68,135,71,37.18,0.055,22.66,71.55,50.28,0.04,0.051,0.081,0.096
2022-06-05,4475901.6,6.36,1429894.82,1139683.7,905346.87,1000976.21,6.57,6.42,6.03,6.15,67.6,144,71,33.42,0.089,20.75,71.85,56.6,0.083,0.088,0.12,0.121
2022-06-06,4476903.57,4.67,1426362.73,1015011.44,957183.62,1078345.77,4.95,4.68,4.47,4.39,69.54,150,86,35.73,0.509,17.61,77.28,44.63,0.479,0.505,0.538,0.532
2022-06-07,4695505.54,3.48,1315669.38,1103301.9,994682.07,1281852.19,3.77,3.31,3.08,3.28,64.4,142,83,39.81,0.561,24.12,73.21,47.55,0.533,0.553,0.577,0.59
2022-06-08,4599092.17,5.65,1462844.61,1094288.57,860052.89,1181906.1,5.74,5.56,5.61,5.31,78.07,147,59,31.14,0.544,15.18,78.28,55.84,0.553,0.55,0.568,0.562
2022-06-09,4451663.07,6.29,1360271.53,1158420.05,921096.21,1011875.29,6.58,6.36,6.15,6.02,77.69,134,55,39.05,0.582,18.67,75.69,50.56,0.552,0.581,0.617,0.599
2022-06-10,4574107.21,5.38,1439548.07,1070057.46,863683.7,1200817.97,5.46,5.39,5.17,5.08,65.02,130,77,43.97,0.074,22.29,73.29,48.04,0.049,0.073,0.095,0.11
2022-06-11,4454389.88,5.04,1328252.71,1026893.88,840669.44,1258573.86,5.3,5.16,4.73,4.63,63.96,108,49,42.76,0.436,19.27,76.32,40.59,0.43,0.411,0.451,0.474
2022-06-12,4455112.43,5.34,1339313.01,1193401.66,957683.76,964714.0,5.6,5.38,5.1,5.16,61.93,133,76,31.02,0.281,15.25,65.58,55.07,0.275,0.278,0.294,0.31
2022-06-13,4541035.47,5.13,1360284.72,1001040.23,862736.61,1316973.92,5.14,5.03,4.9,4.79,82.8,141,67,44.9,0.211,15.66,65.41,59.44,0.167,0.201,0.24,0.242
2022-06-14,4283406.37,4.15,1313611.81,1156053.01,816116.96,997624.59,4.36,4.07,4.06,3.85,65.83,127,54,40.48,0.355,21.49,66.25,52.41,0.343,0.35,0.373,0.379
2022-06-15,4307009.86,4.79,1230021.93,1093295.97,775374.34,1208317.62,4.94,4.8,4.7,4.52,68.6,140,58,32.43,0.447,24.65,71.56,57.13,0.425,0.45,0.471,0.479
2022-06-16,4447525.5,6.02,1250639.47,1162687.53,955447.5,1078751.0,6.15,5.79,5.79,5.63,67.01,166,72,30.19,0.1,20.52,68.53,50.34,0.078,0.093,0.117,0.149
2022-06-17,4394460.27,5.82,1284576.31,1031515.92,930323.9,1148044.13,6.16,5.99,5.76,5.43,70.34,116,52,32.57,0.642,20.07,79.76,44.63,0.634,0.638,0.674,0.682
2022-06-18,4554709.68,5.67,1403703.36,1005296.23,934139.79,1211570.3,5.8,5.71,5.52,5.46,77.85,134,67,42.57,0.166,18.18,73.13,40.29,0.142,0.167,0.187,0.195
2022-06-19,4409037.11,4.5,1270129.57,1132652.87,925944.66,1080310.01,4.62,4.63,4.25,4.22,81.76,132,71,30.32,0.761,17.57,74.94,53.07,0.736,0.756,0.795,0.789
